resistencia,tiempo,VCH1,VCH2
1000,0.00033200000000000005,1.3,0.74
1000,0.00033299999999999996,1.28,0.74
1000,0.0003340000000000001,1.28,0.74
1000,0.000335,1.28,0.74
1000,0.00033599999999999993,1.28,0.74
1000,0.00033700000000000006,1.28,0.76
1000,0.000338,1.28,0.78
1000,0.0003390000000000001,1.3,0.76
1000,0.00034,1.28,0.76
1000,0.00034099999999999994,1.3,0.74
1000,0.0003420000000000001,1.3,0.74
1000,0.000343,1.3,0.76
1000,0.0003439999999999999,1.3,0.78
1000,0.00034500000000000004,1.3,0.76
1000,0.00034599999999999995,1.3,0.76
1000,0.0003470000000000001,1.3,0.76
1000,0.000348,1.3,0.78
1000,0.0003489999999999999,1.3,0.78
1000,0.00035000000000000005,1.28,0.76
1000,0.00035099999999999997,1.28,0.78
1000,0.0003520000000000001,1.28,0.8
1000,0.000353,1.3,0.78
1000,0.00035399999999999993,1.28,0.78
1000,0.00035500000000000006,1.28,0.8
1000,0.000356,1.3,0.78
1000,0.0003570000000000001,1.3,0.78
1000,0.00035800000000000003,1.3,0.8
1000,0.00035899999999999994,1.3,0.8
1000,0.0003600000000000001,1.3,0.88
1000,0.000361,1.3,0.8
1000,0.0003619999999999999,1.3,0.8200000000000001
1000,0.00036300000000000004,1.3,0.8
1000,0.00036399999999999996,1.3,0.8200000000000001
1000,0.0003650000000000001,1.3,0.8
1000,0.000366,1.3,0.8
1000,0.0003669999999999999,1.28,0.8200000000000001
1000,0.00036800000000000005,1.3,0.8200000000000001
1000,0.00036899999999999997,1.3,0.8200000000000001
1000,0.0003700000000000001,1.3,0.8
1000,0.000371,1.28,0.8200000000000001
1000,0.00037199999999999993,1.28,0.8200000000000001
1000,0.00037300000000000007,1.28,0.8200000000000001
1000,0.000374,1.28,0.8200000000000001
1000,0.0003750000000000001,1.3,0.84
1000,0.00037600000000000003,1.28,0.8200000000000001
1000,0.00037699999999999995,1.3,0.8200000000000001
1000,0.0003780000000000001,1.3,0.84
1000,0.000379,1.3,0.84
1000,0.0003799999999999999,1.3,0.84
1000,0.00038100000000000005,1.28,0.86
1000,0.00038199999999999996,1.28,0.84
1000,0.0003830000000000001,1.28,0.84
1000,0.000384,1.28,0.8200000000000001
1000,0.0003849999999999999,1.3,0.84
1000,0.00038600000000000006,1.3,0.86
1000,0.000387,1.3,0.86
1000,0.0003880000000000001,1.3,0.84
1000,0.000389,1.3,0.84
1000,0.00038999999999999994,1.3,0.86
1000,0.00039100000000000007,1.28,0.86
1000,0.000392,1.28,0.86
1000,0.0003929999999999999,1.28,0.88
1000,0.00039400000000000004,1.28,0.86
1000,0.00039499999999999995,1.3,0.86
1000,0.0003960000000000001,1.3,0.86
1000,0.000397,1.28,0.86
1000,0.0003979999999999999,1.28,0.86
1000,0.00039900000000000005,1.3,0.86
1000,0.00039999999999999996,1.28,0.88
1000,0.0004010000000000001,1.3,0.9
1000,0.000402,1.3,0.88
1000,0.00040299999999999993,1.28,0.88
1000,0.00040400000000000006,1.28,0.88
1000,0.000405,1.28,0.9400000000000001
1000,0.0004060000000000001,1.3,0.9
1000,0.000407,1.3,0.9
1000,0.00040799999999999994,1.3,0.9
1000,0.0004090000000000001,1.28,0.9
1000,0.00041,1.3,0.9
1000,0.0004109999999999999,1.3,0.9
1000,0.00041200000000000004,1.28,0.9
1000,0.00041299999999999996,1.3,0.9
1000,0.0004140000000000001,1.3,0.9
1000,0.000415,1.3,0.88
1000,0.0004159999999999999,1.3,0.92
1000,0.00041700000000000005,1.28,0.9
1000,0.00041799999999999997,1.3,0.88
1000,0.0004190000000000001,1.28,0.92
1000,0.00042,1.3,0.9
1000,0.00042099999999999993,1.3,0.9
1000,0.00042200000000000007,1.3,0.92
1000,0.000423,1.3,0.9
1000,0.0004240000000000001,1.3,0.92
1000,0.00042500000000000003,1.3,0.9400000000000001
1000,0.00042599999999999995,1.3,0.92
1000,0.0004270000000000001,1.3,0.9400000000000001
1000,0.000428,1.28,0.92
1000,0.0004289999999999999,1.3,0.9400000000000001
